Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
RS-A-4320263-12200-20091204,Segredo,RS,Sul,04/12/2009,04/12/2009,12200,2.00,Enxurradas,Hidrológico,4320263,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,8,0,381133.17,381133.17,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,14707421.76,0.00,0.00,0.00,0.00,14707421.76,14707421.76
RS-A-4315404-12200-20091204,Redentora,RS,Sul,04/12/2009,04/12/2009,12200,2.00,Enxurradas,Hidrológico,4315404,,Reconhecido,,0,0,0,0,0,0,0,0,0,,170,0,2490300.50,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,100,0,3808694.88,6298995.37,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2187069.79,0.00,0.00,0.00,0.00,2187069.79,2187069.79
RS-A-4310413-12200-20091204,Inhacorá,RS,Sul,04/12/2009,04/12/2009,12200,2.00,Enxurradas,Hidrológico,4310413,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,13,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131839.44,131839.44,,0.00,0.00,0.00,0.00,0.00,0.00,131839.44
RS-A-4316808-12100-20091207,Santa Cruz do Sul,RS,Sul,07/12/2009,07/12/2009,12100,7.00,Inundações,Hidrológico,4316808,,Reconhecido,,0,0,0,99,69,0,0,168,15004,,32,0,1500039.83,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,20,0,19922403.97,21422443.80,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-A-4319802-12200-20091207,São Vicente do Sul,RS,Sul,07/12/2009,07/12/2009,12200,2.00,Enxurradas,Hidrológico,4319802,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,25,3779104.25,3779104.25,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,22515539.23,0.00,0.00,0.00,0.00,22515539.23,22515539.23
RS-A-4306734-12200-20091207,Doutor Maurício Cardoso,RS,Sul,07/12/2009,07/12/2009,12200,2.00,Enxurradas,Hidrológico,4306734,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,15516036.98,127972.15,0.00,0.00,0.00,15644009.13,15644009.13
RS-A-4316105-12200-20091207,Ronda Alta,RS,Sul,07/12/2009,07/12/2009,12200,2.00,Enxurradas,Hidrológico,4316105,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,20,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7002.14,0.00,0.00,21533.77,28535.91,,4289176.38,0.00,0.00,0.00,0.00,4289176.38,4317712.30
RS-A-4322558-12200-20091207,Vanini,RS,Sul,07/12/2009,07/12/2009,12200,2.00,Enxurradas,Hidrológico,4322558,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2176815.61,87892.96,0.00,0.00,0.00,2264708.57,2264708.57
RS-A-4306924-12200-20091207,Engenho Velho,RS,Sul,07/12/2009,07/12/2009,12200,2.00,Enxurradas,Hidrológico,4306924,,Reconhecido,,0,0,0,0,0,0,0,0,0,,55,7,20508.36,1,0,439.46,2,0,2929.77,0,0,0.00,2,0,2929.77,0,0,4306754.98,4333562.33,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-A-4301404-12200-20091208,Arvorezinha,RS,Sul,08/12/2009,08/12/2009,12200,2.00,Enxurradas,Hidrológico,4301404,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,46,0,2305725.28,2305725.28,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,29209759.94,0.00,0.00,0.00,0.00,29209759.94,29209759.94
RS-A-4312500-12100-20091208,Mostardas,RS,Sul,08/12/2009,08/12/2009,12100,7.00,Inundações,Hidrológico,4312500,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,0,0.00,0.00,,,,,,,,0.00,0.00,17578.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82267.81,99846.40,,16851892.76,6700695.49,1757859.17,0.00,1171906.12,26482353.54,26582199.94
RS-A-4303400-12200-20091208,Caiçara,RS,Sul,08/12/2009,08/12/2009,12200,2.00,Enxurradas,Hidrológico,4303400,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,8,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7542973.72,759395.16,0.00,0.00,0.00,8302368.88,8302368.88
RS-A-4309951-12200-20091209,Ibirapuitã,RS,Sul,09/12/2009,09/12/2009,12200,2.00,Enxurradas,Hidrológico,4309951,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,2,0,1529337.48,1529337.48,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2441959.37,0.00,0.00,0.00,0.00,2441959.37,2441959.37
RS-A-4314704-12200-20091210,Planalto,RS,Sul,10/12/2009,10/12/2009,12200,2.00,Enxurradas,Hidrológico,4314704,,Reconhecido,,0,0,0,0,29,0,0,29,22,,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0.00,0,0,0.00,250,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3693555.10,0.00,0.00,0.00,0.00,3693555.10,3693555.10
RS-A-4310009-12100-20091210,Ibirubá,RS,Sul,10/12/2009,10/12/2009,12100,7.00,Inundações,Hidrológico,4310009,,Reconhecido,,0,0,0,0,0,0,0,0,0,,29,12,95803.32,1,0,7324.41,1,0,7324.41,0,0,0.00,0,0,0.00,51,0,1677290.63,1787742.78,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,58808006.77,4746219.77,0.00,0.00,0.00,63554226.54,63554226.54
