Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
RS-P-4315305-12200-19910426,Quaraí,RS,Sul,26/04/1991,26/04/1991,12200,2.00,Enxurradas,Hidrológico,4315305,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4304507-12200-19920306,Canguçu,RS,Sul,06/03/1992,06/03/1992,12200,2.00,Enxurradas,Hidrológico,4304507,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310108-12100-19920313,Igrejinha,RS,Sul,13/03/1992,13/03/1992,12100,7.00,Inundações,Hidrológico,4310108,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4313060-12100-19920313,Nova Hartz,RS,Sul,13/03/1992,13/03/1992,12100,7.00,Inundações,Hidrológico,4313060,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4301305-12100-19920416,Arroio Grande,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4301305,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307104-12100-19920416,Herval,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4307104,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4311007-12100-19920416,Jaguarão,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4311007,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4315305-12100-19920416,Quaraí,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4315305,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4316402-12100-19920416,Rosário do Sul,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4316402,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4317004-12100-19920416,Santana da Boa Vista,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4317004,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4318309-12100-19920416,São Gabriel,RS,Sul,16/04/1992,16/04/1992,12100,7.00,Inundações,Hidrológico,4318309,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4319604-12200-19920416,São Sepé,RS,Sul,16/04/1992,16/04/1992,12200,2.00,Enxurradas,Hidrológico,4319604,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4300406-12100-19920422,Alegrete,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4300406,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4300638-12100-19920422,Amaral Ferrador,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4300638,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4302808-12200-19920422,Caçapava do Sul,RS,Sul,22/04/1992,22/04/1992,12200,2.00,Enxurradas,Hidrológico,4302808,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4302907-12100-19920422,Cacequi,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4302907,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4306601-12100-19920422,Dom Pedrito,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4306601,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4314209-12100-19920422,Pedro Osório,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4314209,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4314506-12100-19920422,Pinheiro Machado,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4314506,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4314605-12100-19920422,Piratini,RS,Sul,22/04/1992,22/04/1992,12100,7.00,Inundações,Hidrológico,4314605,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4306056-12100-19920428,Cristal,RS,Sul,28/04/1992,28/04/1992,12100,7.00,Inundações,Hidrológico,4306056,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4303509-12200-19920430,Camaquã,RS,Sul,30/04/1992,30/04/1992,12200,2.00,Enxurradas,Hidrológico,4303509,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4304200-12200-19920430,Candelária,RS,Sul,30/04/1992,30/04/1992,12200,2.00,Enxurradas,Hidrológico,4304200,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4306908-12200-19920430,Encruzilhada do Sul,RS,Sul,30/04/1992,30/04/1992,12200,2.00,Enxurradas,Hidrológico,4306908,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4300208-12100-19920602,Ajuricaba,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4300208,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4301008-12100-19920602,Arroio do Meio,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4301008,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4301800-12100-19920602,Barracão,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4301800,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4302204-12100-19920602,Boa Vista do Buricá,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4302204,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4303301-12100-19920602,Caibaté,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4303301,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4303806-12100-19920602,Campinas do Sul,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4303806,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4304952-12100-19920602,Caseiros,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4304952,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4305009-12100-19920602,Catuípe,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4305009,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4305405-12100-19920602,Chiapetta,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4305405,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4305504-12100-19920602,Ciríaco,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4305504,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4305603-12100-19920602,Colorado,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4305603,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4305702-12100-19920602,Condor,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4305702,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4306932-12100-19920602,Entre-Ijuís,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4306932,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307005-12100-19920602,Erechim,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4307005,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307203-12100-19920602,Erval Grande,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4307203,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307302-12100-19920602,Erval Seco,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4307302,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307559-12100-19920602,Estação,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4307559,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4307807-12100-19920602,Estrela,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4307807,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4308458-12100-19920602,Fortaleza dos Valos,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4308458,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4308904-12100-19920602,Getúlio Vargas,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4308904,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4309506-12100-19920602,Guarani das Missões,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4309506,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4309803-12100-19920602,Ibiaçá,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4309803,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310009-12100-19920602,Ibirubá,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4310009,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310207-12100-19920602,Ijuí,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4310207,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310462-12100-19920602,Ipiranga do Sul,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4310462,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310850-12100-19920602,Jaboticaba,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4310850,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4310900-12100-19920602,Jacutinga,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4310900,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4311304-12100-19920602,Lagoa Vermelha,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4311304,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4311700-12100-19920602,Machadinho,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4311700,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4312203-12100-19920602,Maximiliano de Almeida,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4312203,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4312609-12100-19920602,Muçum,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4312609,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4312658-12100-19920602,Não-Me-Toque,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4312658,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-P-4313607-12100-19920602,Paim Filho,RS,Sul,02/06/1992,02/06/1992,12100,7.00,Inundações,Hidrológico,4313607,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
